service_id,date,exception_type
10,20230529,2
13,20230529,1
16,20230529,2
19,20230529,1
22,20230529,2
25,20230529,1
28,20230529,2
31,20230529,1
40,20230529,2
43,20230529,1
46,20230529,2
49,20230529,1
52,20230529,2
55,20230529,1
